year_month,destination_region,origin_region,arriving_passengers
2006-07,South,South,101566
2006-07,South,Southeast,305623
2006-07,Southeast,Central-West,260381
2006-07,Southeast,North,33458
2006-07,Southeast,Northeast,356660
2006-07,Southeast,South,311963
2006-07,Southeast,Southeast,848504
2006-08,Central-West,Central-West,73548
2006-08,Central-West,North,52892
2006-08,Central-West,Northeast,80043
2006-08,Central-West,South,26330
2006-08,Central-West,Southeast,240463
2006-08,North,Central-West,53278
2006-08,North,North,137882
2006-08,North,Northeast,20290
2006-08,North,South,227
2006-08,North,Southeast,30930
2006-08,Northeast,Central-West,77478
2006-08,Northeast,North,18108
2006-08,Northeast,Northeast,267346
2006-08,Northeast,South,7999
2006-08,Northeast,Southeast,279149
2006-08,South,Central-West,25482
2006-08,South,North,281
2006-08,South,Northeast,7800
2006-08,South,South,108994
2006-08,South,Southeast,313421
2006-08,Southeast,Central-West,244376
2006-08,Southeast,North,31671
2006-08,Southeast,Northeast,310055
2006-08,Southeast,South,309574
2006-08,Southeast,Southeast,902121
2006-09,Central-West,Central-West,71274
2006-09,Central-West,North,46326
2006-09,Central-West,Northeast,77384
2006-09,Central-West,South,24421
2006-09,Central-West,Southeast,237251
2006-09,North,Central-West,47924
2006-09,North,North,129847
2006-09,North,Northeast,19095
2006-09,North,South,151
2006-09,North,Southeast,30150
2006-09,Northeast,Central-West,82631
2006-09,Northeast,North,17631
2006-09,Northeast,Northeast,278668
2006-09,Northeast,South,8100
2006-09,Northeast,Southeast,310364
2006-09,South,Central-West,24143
2006-09,South,North,193
2006-09,South,Northeast,8172
2006-09,South,South,105184
2006-09,South,Southeast,308048
2006-09,Southeast,Central-West,239089
2006-09,Southeast,North,31511
2006-09,Southeast,Northeast,307301
2006-09,Southeast,South,305673
2006-09,Southeast,Southeast,889192
2006-10,Central-West,Central-West,67833
2006-10,Central-West,North,51724
2006-10,Central-West,Northeast,76527
2006-10,Central-West,South,25495
2006-10,Central-West,Southeast,244132
2006-10,North,Central-West,50424
2006-10,North,North,135576
2006-10,North,Northeast,17889
2006-10,North,South,154
2006-10,North,Southeast,29744
2006-10,Northeast,Central-West,78519
2006-10,Northeast,North,18303
2006-10,Northeast,Northeast,274619
2006-10,Northeast,South,8097
2006-10,Northeast,Southeast,330009
2006-10,South,Central-West,24295
2006-10,South,North,210
2006-10,South,Northeast,8377
2006-10,South,South,111379
2006-10,South,Southeast,331296
2006-10,Southeast,Central-West,244083
2006-10,Southeast,North,31470
2006-10,Southeast,Northeast,335609
2006-10,Southeast,South,328983
2006-10,Southeast,Southeast,931223
2006-11,Central-West,Central-West,64647
2006-11,Central-West,North,49733
2006-11,Central-West,Northeast,75180
2006-11,Central-West,South,26004
2006-11,Central-West,Southeast,228126
2006-11,North,Central-West,49162
2006-11,North,North,126041
2006-11,North,Northeast,17137
2006-11,North,South,334
2006-11,North,Southeast,29690
2006-11,Northeast,Central-West,76038
2006-11,Northeast,North,17297
2006-11,Northeast,Northeast,258760
2006-11,Northeast,South,8027
2006-11,Northeast,Southeast,284637
2006-11,South,Central-West,24903
2006-11,South,North,394
2006-11,South,Northeast,8718
2006-11,South,South,104186
2006-11,South,Southeast,300909
2006-11,Southeast,Central-West,228134
2006-11,Southeast,North,32510
2006-11,Southeast,Northeast,292933
2006-11,Southeast,South,294592
2006-11,Southeast,Southeast,849021
2006-12,Central-West,Central-West,66362
2006-12,Central-West,North,57220
2006-12,Central-West,Northeast,81408
2006-12,Central-West,South,26825
2006-12,Central-West,Southeast,222621
2006-12,North,Central-West,50361
2006-12,North,North,152044
2006-12,North,Northeast,17177
2006-12,North,South,521
2006-12,North,Southeast,33138
2006-12,Northeast,Central-West,120689
2006-12,Northeast,North,24614
2006-12,Northeast,Northeast,284802
2006-12,Northeast,South,9828
2006-12,Northeast,Southeast,430714
2006-12,South,Central-West,31137
2006-12,South,North,732
2006-12,South,Northeast,9755
2006-12,South,South,106929
2006-12,South,Southeast,316452
